MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,DIRECTOR,VOTES,RunTime,Gross
 The Last Kingdom,2015,"
Action, Drama, History            ",9.1,"Uhtred suffers a great loss on his attack on Bebbanburg. As he retreats south, he takes some valuable captives. Aethelflaed prepares for war.","
Joseph Millson, 
Alexander Dreymon, 
Arnas Fedaravicius, 
Finn Elliot
","
Sarah O'Gorman",1972,54,Not specified
 Super Monsters,2017,"
Animation, Adventure, Comedy            ",5.9,"Lobo's cousin Vida moves to town, Lobo shows her his favorite places around town, and the next day Vida has her first day of school.","
Gigi Saul Guerrero
",Not specified,36,23,Not specified
 Formula 1,2019,"
Documentary, Sport            ",7.6,The 2019 season wrapped up. Follow the drivers ups and downs and experience the thrill of Formula 1 up close.,"
Cyril Abiteboul, 
Alexander Albon, 
Valtteri Bottas, 
Zak Brown
",Not specified,614,33,Not specified
 F Is for Family,2015,"
Animation, Comedy, Drama            ",7.8,Frank tries his best to improve his skills as a father while Kevin is encouraged to do better in school and Vic celebrates turning 30.,"
Bill Burr, 
Laura Dern, 
Justin Long, 
Debi Derryberry
","
Sylvain Lavoie, 
Rich Wilkie",337,28,Not specified
 F Is for Family,2015,"
Animation, Comedy, Drama            ",7.8,Frank struggles to make good on his promises to Bill and Maureen. Vic gets a rude surprise on his first day back at the radio station.,"
Bill Burr, 
Laura Dern, 
Justin Long, 
Debi Derryberry
","
Sylvain Lavoie, 
Rich Wilkie",318,28,Not specified
 F Is for Family,2015,"
Animation, Comedy, Drama            ",8.1,"A lunch date sends Sue even deeper into a funk, Bill discovers a different side of his grandfather, and a desperate Vic offers to record Kevin's band.","
Bill Burr, 
Laura Dern, 
Justin Long, 
Debi Derryberry
","
Sylvain Lavoie, 
Rich Wilkie",322,29,Not specified
 F Is for Family,2015,"
Animation, Comedy, Drama            ",7.7,"While Frank and his dad tend to an emergency at the airport, Sue spends a maddening night at the hospital, and Bill takes a beating in the hockey rink.","
Bill Burr, 
Laura Dern, 
Justin Long, 
Debi Derryberry
","
Sylvain Lavoie, 
Rich Wilkie",308,28,Not specified
 F Is for Family,2015,"
Animation, Comedy, Drama            ",8.2,"Frank's pledge to be a better father and husband by one calamity after the next, leading to an epic meltdown at Lamaze class.","
Bill Burr, 
Laura Dern, 
Justin Long, 
Debi Derryberry
","
Sylvain Lavoie, 
Rich Wilkie",314,28,Not specified
 F Is for Family,2015,"
Animation, Comedy, Drama            ",7.6,"Eager to make his mark as an alderman, Rosie heads to City Hall - only to find out the crooked mayor has his own plans for the Twelfth Ward.","
Bill Burr, 
Laura Dern, 
Justin Long, 
Debi Derryberry
","
Sylvain Lavoie, 
Rich Wilkie",375,27,Not specified
 F Is for Family,2015,"
Animation, Comedy, Drama            ",8.3,A string of good luck lifts the mood at the Murphy house. But a family outing to the fourth-grade play unleashes a fresh wave of chaos.,"
Bill Burr, 
Laura Dern, 
Justin Long, 
Debi Derryberry
","
Sylvain Lavoie, 
Rich Wilkie",311,28,Not specified
 F Is for Family,2015,"
Animation, Comedy, Drama            ",8,"While Frank and the Mohican crew head to X-ray training in Cleveland, Vic gives Kevin and the band a total makeover for Kweezetoberfest.","
Bill Burr, 
Laura Dern, 
Justin Long, 
Debi Derryberry
","
Sylvain Lavoie, 
Rich Wilkie",287,29,Not specified
 F Is for Family,2015,"
Animation, Comedy, Drama            ",8.7,"As Sue sets out on a star-crossed trek to the hospital, Frank races to catch a flight home - and vows to settle things with his dad once and for all.","
Bill Burr, 
Laura Dern, 
Justin Long, 
Haley Reinhart
","
Sylvain Lavoie, 
Rich Wilkie",358,29,Not specified
 Black Lightning,2017-2021,"
Action, Drama, Sci-Fi            ",6.7,"With Freeland under occupation, the Pierce family gets pulled in different directions; Jefferson and Lynn are at odds with each other; Jennifer feels powerless despite having powers.","
Cress Williams, 
China Anne McClain, 
Nafessa Williams, 
Christine Adams
","
Oz Scott",363,42,Not specified
 Power Rangers Beast Morphers,2019-2020,"
Action, Adventure, Drama            ",8.7,"The Red Ranger gets amazing new powers, but they have unexpected side effects.","
Rorrie D. Travis, 
Jasmeet Baduwalia, 
Jacqueline Scislowski, 
Abraham Rodriguez
","
Oliver Driver",29,Not specified,Not specified
 Power Rangers Beast Morphers,2019-2020,"
Action, Adventure, Drama            ",8.4,Ravi resorts to drastic measures when Smash accidentally discovers a closely guarded secret.,"
Rorrie D. Travis, 
Jasmeet Baduwalia, 
Jacqueline Scislowski, 
Abraham Rodriguez
","
Oliver Driver",30,Not specified,Not specified
 The Movies That Made Us,2019,"
Documentary            ",7.8,"Stepping on toes and tangling with rejection, the women behind this ""girl's movie"" touched millions despite co-star tension and a meager budget.","
Donald Ian Black, 
Miranda Garrison, 
Kenny Ortega, 
Eleanor Bergstein
","
Brian Volk-Weiss",477,51,Not specified
 The Movies That Made Us,2019,"
Documentary            ",8.2,"The production crew of ""Home Alone"" overcomes obstacles with studio support, casting mishaps, and general chaos to fortuitously create a classic Christmas masterpiece.","
Donald Ian Black, 
John Hughes, 
Peter Heller, 
Chris Columbus
","
Brian Volk-Weiss",571,Not specified,Not specified
 The Movies That Made Us,2019,"
Documentary            ",8,"A rickety script, tight timeline and effects issues almost busted this comedy. But thanks to Dan Aykroyd and company, the slimy shenanigans took off.","
Donald Ian Black, 
Dan Aykroyd, 
Harold Ramis, 
Ivan Reitman
","
Brian Volk-Weiss",463,47,Not specified
 The Movies That Made Us,2019,"
Documentary            ",8.1,"This box office titan took action movies to the next level, decked out with a relatable hero, a humorous rewrite and a well-played ""yippee-ki-yay.""","
Donald Ian Black, 
Stephen Thorp, 
Jeb Stuart, 
Beau Marks
","
Brian Volk-Weiss",457,46,Not specified
 Trinkets,2019-2020,"
Comedy, Crime, Drama            ",7.5,"With Moe and Tabitha dodging questions about her whereabouts, Elodie experiences the highs and lows of life on the road with the flighty Sabine.","
Brianna Hildebrand, 
Kiana Madeira, 
Quintessa Swindell, 
Brandon Butler
","
John Fortenberry",125,24,Not specified
 Feel Good,2020-2021,"
Comedy, Drama, Romance            ",7.1,"Stand-up comedian Mae is stuck in a rut - she's single, in recovery from a drug addiction and sleeping on a friend's sofa. Then she meets the magnetic, but previously heterosexual George.","
Mae Martin, 
Charlotte Ritchie, 
Lisa Kudrow, 
Sophie Thompson
","
Ally Pankiw",292,24,Not specified
 Feel Good,2020-2021,"
Comedy, Drama, Romance            ",7.4,"Mae and George are so loved-up they haven't spent a moment apart since they met. But when George goes away to a wedding, Mae realises that she's forgotten how to be on her own.","
Mae Martin, 
Charlotte Ritchie, 
Lisa Kudrow, 
Sophie Thompson
","
Ally Pankiw",239,23,Not specified
 Feel Good,2020-2021,"
Comedy, Drama, Romance            ",7.7,"As their relationship continues to heat up at home, Mae is growing increasingly insecure about George's public attitude toward her. Things reach a climax when they attend a house party.","
Mae Martin, 
Charlotte Ritchie, 
Sophie Thompson, 
Tom Andrews
","
Ally Pankiw",232,23,Not specified
 Feel Good,2020-2021,"
Comedy, Drama, Romance            ",7.8,"Mae learns that her parents are visiting the UK but haven't thought to tell her. They're in Blackpool, scattering the cat's ashes. An incensed Mae hotfoots it to the North to join them, taking George with her for moral support.","
Mae Martin, 
Charlotte Ritchie, 
Lisa Kudrow, 
Sophie Thompson
","
Ally Pankiw",215,23,Not specified
 The Protector,2018-2020,"
Action, Fantasy, Sci-Fi            ",7.2,"Vizier, the mysterious leader of the Immortals, curbs Rya's ambitions and lures Hakan into a trap using Levent. Faysal makes a vindictive decision.","
agatay Ulusoy, 
Hazar Ergl, 
Okan Yalabik, 
Engin ztrk
","
Umut Aral",313,Not specified,Not specified
 The Protector,2018-2020,"
Action, Fantasy, Sci-Fi            ",7.2,Hakan and the Loyal Ones hatch a scheme to gain Rya's allegiance. Vizier demands Faysal's help in retrieving the last piece of the key.,"
agatay Ulusoy, 
Hazar Ergl, 
Okan Yalabik, 
Funda Eryigit
","
Umut Aral",296,Not specified,Not specified
 Trinkets,2019-2020,"
Comedy, Crime, Drama            ",7.8,"Anxious about returning home, Elodie enjoys some sticky-fingered bonding with her best friends. Meanwhile, Moe's impetuousness causes concern.","
Brianna Hildebrand, 
Kiana Madeira, 
Quintessa Swindell, 
Brandon Butler
","
John Fortenberry",117,27,Not specified
 Trinkets,2019-2020,"
Comedy, Crime, Drama            ",7.8,"Moe's relationship with Tabitha wobbles when a secret is accidentally revealed, and Elodie looks for an after-school activity to placate her dad.","
Brianna Hildebrand, 
Kiana Madeira, 
Quintessa Swindell, 
Brandon Butler
","
Sherwin Shilati",112,26,Not specified
 Trinkets,2019-2020,"
Comedy, Crime, Drama            ",8.1,Being grounded doesn't stop Elodie from trying to bump into her crush at a Halloween party or asking Moe and Tabitha along to be her costumed backup.,"
Brianna Hildebrand, 
Kiana Madeira, 
Quintessa Swindell, 
Brandon Butler
","
Sherwin Shilati",125,27,Not specified
 Trinkets,2019-2020,"
Comedy, Crime, Drama            ",8,"Moe struggles to be the kind of girlfriend Noah needs, Tabitha feels stung after being racially profiled , and Elodie takes a chance with Jillian.","
Brianna Hildebrand, 
Kiana Madeira, 
Quintessa Swindell, 
Brandon Butler
","
Ayoka Chenzira",112,27,Not specified
 Trinkets,2019-2020,"
Comedy, Crime, Drama            ",7.9,"As Elodie marks a milestone in her personal growth, Moe contends with a blackmail scheme during a robotics competition.","
Brianna Hildebrand, 
Kiana Madeira, 
Quintessa Swindell, 
Brandon Butler
","
Ayoka Chenzira",114,27,Not specified
 Trinkets,2019-2020,"
Comedy, Crime, Drama            ",7.7,"An impromptu Thanksgiving gathering serves up a surprise guest, a secret romance, and a host of bittersweet memories for Elodie, Tabitha, and Moe.","
Brianna Hildebrand, 
Kiana Madeira, 
Quintessa Swindell, 
Brandon Butler
","
Megan Griffiths",107,30,Not specified
